connected_hours,earnings,driver_classification,week,app
21,101.69244306441871,part_time,2020-10-18,uber
30,175.01290583191113,part_time,2020-10-18,uber
14,51.18939147964793,part_time,2020-10-18,uber
22,98.77813300924515,part_time,2020-10-18,uber
20,66.74528232642348,part_time,2020-10-18,uber
23,55.556239978480406,part_time,2020-10-18,uber
24,92.57756922358664,part_time,2020-10-18,uber
24,57.19444395945888,part_time,2020-10-18,uber
18,59.977270282263014,part_time,2020-10-18,uber
19,84.45734014182642,part_time,2020-10-18,uber
30,81.57241674795723,part_time,2020-10-18,uber
25,91.07320749029736,part_time,2020-10-18,uber
15,61.753865344086,part_time,2020-10-18,uber
21,79.9523412424773,part_time,2020-10-18,uber
18,70.53993241301156,part_time,2020-10-18,uber
19,85.8037306466591,part_time,2020-10-18,uber
17,62.05300484103367,part_time,2020-10-18,uber
15,27.734671083060938,part_time,2020-10-18,uber
36,162.5701479199811,part_time,2020-10-18,uber
12,114.38538122815854,part_time,2020-10-18,uber
26,63.336733601119725,part_time,2020-10-18,uber
17,46.39499938856737,part_time,2020-10-18,uber
26,90.61395710665393,part_time,2020-10-18,uber
14,21.176962384887897,part_time,2020-10-18,uber
16,92.43613234876956,part_time,2020-10-18,uber
17,56.86302884051802,part_time,2020-10-18,uber
27,108.33553182174276,part_time,2020-10-18,uber
18,65.48677828874807,part_time,2020-10-18,uber
18,44.45155642759644,part_time,2020-10-18,uber
26,168.19393045071357,part_time,2020-10-18,uber
13,23.391002140860135,part_time,2020-10-18,uber
17,52.69086608573692,part_time,2020-10-18,uber
30,67.95548564104605,part_time,2020-10-18,uber
25,178.52426613285309,part_time,2020-10-18,uber
19,95.59693077123848,part_time,2020-10-18,uber
24,97.71836856825578,part_time,2020-10-18,uber
23,145.47079037150155,part_time,2020-10-18,uber
34,133.42493733679288,part_time,2020-10-18,uber
30,150.695038155177,part_time,2020-10-18,uber
15,67.25675278378907,part_time,2020-10-18,uber
26,110.28786104403875,part_time,2020-10-18,uber
32,123.46667815893227,part_time,2020-10-18,uber
12,49.43518075219987,part_time,2020-10-18,uber
22,62.80671442951888,part_time,2020-10-18,uber
19,84.79888156229573,part_time,2020-10-18,uber
17,71.62142300418638,part_time,2020-10-18,uber
29,122.13516235485841,part_time,2020-10-18,uber
15,76.54910037397039,part_time,2020-10-18,uber
7,39.78560774645202,part_time,2020-10-18,uber
25,79.08184365398154,part_time,2020-10-18,uber
29,55.85970514708803,part_time,2020-10-18,uber
27,78.51954011789795,part_time,2020-10-18,uber
15,64.2889748393629,part_time,2020-10-18,uber
21,80.09678217300117,part_time,2020-10-18,uber
23,83.47199471229916,part_time,2020-10-18,uber
23,67.90569042814222,part_time,2020-10-18,uber
13,31.737743341868605,part_time,2020-10-18,uber
26,118.63377170621183,part_time,2020-10-18,uber
24,99.48614620547288,part_time,2020-10-18,uber
21,86.19834774841082,part_time,2020-10-18,uber
24,261.7753657401531,part_time,2020-10-18,uber
33,145.64740710365524,part_time,2020-10-18,uber
19,106.66156819963794,part_time,2020-10-18,uber
11,42.37124662788321,part_time,2020-10-18,uber
14,15.078579400606191,part_time,2020-10-18,uber
28,138.10261891066855,part_time,2020-10-18,uber
31,174.218504459581,part_time,2020-10-18,uber
21,59.9385145242685,part_time,2020-10-18,uber
19,44.330376337402974,part_time,2020-10-18,uber
18,47.315141462306514,part_time,2020-10-18,uber
19,34.9639143607252,part_time,2020-10-18,uber
34,124.4716575838242,part_time,2020-10-18,uber
16,89.3468728035307,part_time,2020-10-18,uber
20,35.97175614256909,part_time,2020-10-18,uber
13,42.520937188836676,part_time,2020-10-18,uber
22,87.49506439993274,part_time,2020-10-18,uber
14,33.96253790280096,part_time,2020-10-18,uber
18,53.701696616591,part_time,2020-10-18,uber
19,40.78001567545299,part_time,2020-10-18,uber
12,78.4006885993038,part_time,2020-10-18,uber
24,109.09846381376192,part_time,2020-10-18,uber
21,63.83991094020364,part_time,2020-10-18,uber
15,43.77242366878678,part_time,2020-10-18,uber
25,170.70355304952938,part_time,2020-10-18,uber
13,49.253733506910756,part_time,2020-10-18,uber
19,63.078288124504404,part_time,2020-10-18,uber
15,46.5069503128559,part_time,2020-10-18,uber
13,36.58505927617719,part_time,2020-10-18,uber
23,155.6207684504863,part_time,2020-10-18,uber
23,70.2242992351741,part_time,2020-10-18,uber
24,99.98762677868945,part_time,2020-10-18,uber
22,149.4589620376148,part_time,2020-10-18,uber
22,71.02872314899645,part_time,2020-10-18,uber
26,123.6542609964245,part_time,2020-10-18,uber
13,107.26884391415041,part_time,2020-10-18,uber
10,36.33380801173459,part_time,2020-10-18,uber
20,54.635116663437145,part_time,2020-10-18,uber
9,48.620999160793566,part_time,2020-10-18,uber
13,53.59617554479037,part_time,2020-10-18,uber
31,157.99099925950733,part_time,2020-10-18,uber
18,101.75723938335149,part_time,2020-10-18,uber
21,79.15530170024624,part_time,2020-10-18,uber
22,88.95969239967778,part_time,2020-10-18,uber
20,67.15900334828659,part_time,2020-10-18,uber
13,41.08789309627229,part_time,2020-10-18,uber
13,30.518922483260702,part_time,2020-10-18,uber
23,119.45696110541974,part_time,2020-10-18,uber
12,21.32688113882148,part_time,2020-10-18,uber
14,35.831445921342244,part_time,2020-10-18,uber
21,95.35868403405729,part_time,2020-10-18,uber
34,86.33078345459384,part_time,2020-10-18,uber
15,45.18710965887834,part_time,2020-10-18,uber
16,60.953957808197536,part_time,2020-10-18,uber
28,116.91658036408118,part_time,2020-10-18,uber
14,45.9897608126147,part_time,2020-10-18,uber
16,70.89430347645586,part_time,2020-10-18,uber
28,111.05231290370583,part_time,2020-10-18,uber
9,37.8069394807593,part_time,2020-10-18,uber
19,68.94608762969678,part_time,2020-10-18,uber
19,63.176477437786936,part_time,2020-10-18,uber
31,165.30833007369472,part_time,2020-10-18,uber
15,81.29981789533646,part_time,2020-10-18,uber
20,47.24727819197747,part_time,2020-10-18,uber
22,78.08232877827768,part_time,2020-10-18,uber
20,106.86650436861213,part_time,2020-10-18,uber
11,22.237129127638582,part_time,2020-10-18,uber
21,126.16676694485507,part_time,2020-10-18,uber
29,152.1343020768274,part_time,2020-10-18,uber
22,55.20379932020112,part_time,2020-10-18,uber
14,21.641677953249324,part_time,2020-10-18,uber
7,27.04153162565082,part_time,2020-10-18,uber
20,82.2106924551617,part_time,2020-10-18,uber
15,95.41129169053175,part_time,2020-10-18,uber
27,97.89781057259353,part_time,2020-10-18,uber
15,79.63837390495091,part_time,2020-10-18,uber
19,76.17447375476786,part_time,2020-10-18,uber
18,52.05112517301099,part_time,2020-10-18,uber
33,84.5811977837102,part_time,2020-10-18,uber
24,131.59548679936324,part_time,2020-10-18,uber
13,55.9596795404672,part_time,2020-10-18,uber
21,70.72204552608147,part_time,2020-10-18,uber
23,44.0288712031315,part_time,2020-10-18,uber
23,52.4319054410239,part_time,2020-10-18,uber
23,67.33706808720774,part_time,2020-10-18,uber
38,196.60697554599483,part_time,2020-10-18,uber
15,51.23254745301023,part_time,2020-10-18,uber
